CustomerID,datetime,NormDelta,AbsDelta,Leaders,Demand
delta,2017-01-01 00:00,0.02261,0.02145,0.16760,0.93150
delta,2017-01-01 00:15,0.04826,0.04578,0.17200,0.93218
delta,2017-01-01 00:30,0.04406,0.04180,0.16920,0.92025
delta,2017-01-01 00:45,0.02582,0.02450,0.16880,0.93527
delta,2017-01-01 01:00,0.03433,0.03257,0.16760,0.92038
delta,2017-01-01 01:15,0.00052,0.00049,0.16440,0.93426
delta,2017-01-01 01:30,0.02602,0.02469,0.16680,0.92372
delta,2017-01-01 01:45,0.02711,0.02572,0.16600,0.91813
delta,2017-01-01 02:00,0.00945,0.00897,0.16440,0.92579
delta,2017-01-01 02:15,0.00694,0.00658,0.16480,0.93044
delta,2017-01-01 02:30,0.01757,0.01667,0.16640,0.92946
delta,2017-01-01 02:45,0.01977,0.01876,0.16840,0.93874
delta,2017-01-01 03:00,0.04179,0.03965,0.17280,0.94286
delta,2017-01-01 03:15,-0.00189,-0.00179,0.16400,0.93427
delta,2017-01-01 03:30,0.02565,0.02433,0.16760,0.92861
delta,2017-01-01 03:45,-0.03253,-0.03086,0.16200,0.95197
delta,2017-01-01 04:00,-0.01448,-0.01374,0.16360,0.94394
delta,2017-01-01 04:15,-0.01884,-0.01787,0.16640,0.96400
delta,2017-01-01 04:30,0.04372,0.04148,0.17600,0.95923
delta,2017-01-01 04:45,0.05443,0.05164,0.17760,0.95817
delta,2017-01-01 05:00,0.04583,0.04348,0.17960,0.97770
delta,2017-01-01 05:15,0.02407,0.02284,0.17160,0.95285
delta,2017-01-01 05:30,0.01692,0.01605,0.17200,0.96191
delta,2017-01-01 05:45,0.00586,0.00556,0.17360,0.98150
delta,2017-01-01 06:00,-0.01111,-0.01054,0.16920,0.97259
delta,2017-01-01 06:15,-0.01258,-0.01193,0.17440,1.00354
delta,2017-01-01 06:30,0.02525,0.02395,0.18040,1.00177
delta,2017-01-01 06:45,-0.00375,-0.00356,0.17480,0.99744
delta,2017-01-01 07:00,-0.01945,-0.01845,0.16720,0.96912
delta,2017-01-01 07:15,0.00988,0.00937,0.16760,0.94357
delta,2017-01-01 07:30,-0.05291,-0.05020,0.16080,0.96448
delta,2017-01-01 07:45,-0.02525,-0.02395,0.16240,0.94734
delta,2017-01-01 08:00,-0.00231,-0.00219,0.16200,0.92330
delta,2017-01-01 08:15,-0.06290,-0.05967,0.15720,0.95349
delta,2017-01-01 08:30,0.00256,0.00243,0.16480,0.93460
delta,2017-01-01 08:45,-0.01273,-0.01208,0.16360,0.94228
delta,2017-01-01 09:00,0.00708,0.00672,0.16560,0.93486
delta,2017-01-01 09:15,-0.00895,-0.00849,0.16640,0.95462
delta,2017-01-01 09:30,0.01083,0.01027,0.16800,0.94495
delta,2017-01-01 09:45,-0.01475,-0.01399,0.16320,0.94192
delta,2017-01-01 10:00,0.00570,0.00541,0.16680,0.94300
delta,2017-01-01 10:15,0.00192,0.00182,0.16600,0.94203
delta,2017-01-01 10:30,-0.00309,-0.00293,0.16520,0.94224
delta,2017-01-01 10:45,0.00397,0.00377,0.16920,0.95828
delta,2017-01-01 11:00,-0.04815,-0.04568,0.16080,0.95997
delta,2017-01-01 11:15,-0.03752,-0.03560,0.16120,0.95215
delta,2017-01-01 11:30,-0.04403,-0.04177,0.15960,0.94923
delta,2017-01-01 11:45,-0.01037,-0.00984,0.16720,0.96051
delta,2017-01-01 12:00,0.01499,0.01422,0.16800,0.94100
delta,2017-01-01 12:15,0.02415,0.02291,0.17000,0.94368
delta,2017-01-01 12:30,-0.03685,-0.03496,0.16040,0.94697
delta,2017-01-01 12:45,-0.03809,-0.03614,0.16200,0.95725
delta,2017-01-01 13:00,-0.03223,-0.03058,0.16160,0.94941
delta,2017-01-01 13:15,0.00424,0.00402,0.16600,0.93983
delta,2017-01-01 13:30,0.03864,0.03666,0.16920,0.92539
delta,2017-01-01 13:45,0.00482,0.00457,0.16520,0.93473
delta,2017-01-01 14:00,0.00999,0.00948,0.16360,0.92073
delta,2017-01-01 14:15,0.02860,0.02713,0.16600,0.91672
delta,2017-01-01 14:30,0.00147,0.00139,0.16160,0.91744
delta,2017-01-01 14:45,-0.02926,-0.02776,0.15640,0.91703
delta,2017-01-01 15:00,0.01737,0.01648,0.16520,0.92283
delta,2017-01-01 15:15,0.01180,0.01119,0.16400,0.92128
delta,2017-01-01 15:30,0.02557,0.02426,0.16640,0.92187
delta,2017-01-01 15:45,0.00548,0.00520,0.16480,0.93183
delta,2017-01-01 16:00,-0.01906,-0.01808,0.16080,0.93237
delta,2017-01-01 16:15,0.00531,0.00504,0.16240,0.91835
delta,2017-01-01 16:30,-0.02360,-0.02239,0.15920,0.92758
delta,2017-01-01 16:45,0.01210,0.01148,0.16760,0.94147
delta,2017-01-01 17:00,-0.00806,-0.00765,0.17000,0.97424
delta,2017-01-01 17:15,-0.01183,-0.01122,0.17440,1.00283
delta,2017-01-01 17:30,0.00702,0.00666,0.17560,0.99178
delta,2017-01-01 17:45,-0.04677,-0.04437,0.16760,0.99732
delta,2017-01-01 18:00,-0.03969,-0.03765,0.16760,0.99060
delta,2017-01-01 18:15,-0.03957,-0.03754,0.16840,0.99503
delta,2017-01-01 18:30,0.00841,0.00798,0.17480,0.98591
delta,2017-01-01 18:45,-0.03819,-0.03623,0.16680,0.98463
delta,2017-01-01 19:00,-0.01214,-0.01152,0.16800,0.96674
delta,2017-01-01 19:15,-0.00130,-0.00123,0.16960,0.96556
delta,2017-01-01 19:30,-0.04846,-0.04597,0.16520,0.98528
delta,2017-01-01 19:45,-0.06785,-0.06437,0.16040,0.97638
delta,2017-01-01 20:00,-0.00585,-0.00555,0.16800,0.96077
delta,2017-01-01 20:15,-0.05210,-0.04943,0.16160,0.96826
delta,2017-01-01 20:30,-0.05004,-0.04747,0.16400,0.97995
delta,2017-01-01 20:45,0.00702,0.00666,0.17080,0.96448
delta,2017-01-01 21:00,-0.00949,-0.00900,0.16640,0.95513
delta,2017-01-01 21:15,0.04104,0.03894,0.17280,0.94357
delta,2017-01-01 21:30,0.00103,0.00098,0.16920,0.96107
delta,2017-01-01 21:45,-0.00064,-0.00061,0.16320,0.92854
delta,2017-01-01 22:00,0.02668,0.02531,0.16960,0.93901
delta,2017-01-01 22:15,0.01419,0.01346,0.16840,0.94403
delta,2017-01-01 22:30,0.02741,0.02600,0.16680,0.92240
delta,2017-01-01 22:45,0.02157,0.02046,0.16560,0.92111
delta,2017-01-01 23:00,0.01369,0.01299,0.16720,0.93768
delta,2017-01-01 23:15,0.02881,0.02733,0.16880,0.93244
delta,2017-01-01 23:30,0.01697,0.01610,0.16480,0.92093
delta,2017-01-01 23:45,0.02242,0.02127,0.16520,0.91804
delta,2017-01-02 00:00,0.18290,0.21420,0.16760,0.91843
delta,2017-01-02 00:15,0.19673,0.23039,0.16880,0.91035
delta,2017-01-02 00:30,0.14693,0.17207,0.15880,0.90108
delta,2017-01-02 00:45,0.19690,0.23059,0.16640,0.89393
delta,2017-01-02 01:00,0.19008,0.22261,0.16520,0.89380
delta,2017-01-02 01:15,0.17356,0.20326,0.16360,0.90234
delta,2017-01-02 01:30,0.20039,0.23468,0.16640,0.88984
delta,2017-01-02 01:45,0.23817,0.27893,0.17560,0.90777
delta,2017-01-02 02:00,0.14728,0.17248,0.15920,0.90338
delta,2017-01-02 02:15,0.23566,0.27599,0.17440,0.90259
delta,2017-01-02 02:30,0.18661,0.21854,0.16920,0.92490
delta,2017-01-02 02:45,0.21110,0.24722,0.17280,0.92055
delta,2017-01-02 03:00,0.18910,0.22146,0.16960,0.92468
delta,2017-01-02 03:15,0.11737,0.13745,0.16040,0.94651
delta,2017-01-02 03:30,0.11547,0.13523,0.15960,0.94334
delta,2017-01-02 03:45,0.11226,0.13147,0.15920,0.94439
delta,2017-01-02 04:00,0.12681,0.14851,0.16360,0.95709
delta,2017-01-02 04:15,0.14595,0.17092,0.17200,0.99143
delta,2017-01-02 04:30,0.13609,0.15938,0.17160,1.00028
delta,2017-01-02 04:45,0.08283,0.09700,0.16760,1.03562
delta,2017-01-02 05:00,0.11883,0.13916,0.17160,1.02049
delta,2017-01-02 05:15,0.01701,0.01992,0.16800,1.11541
delta,2017-01-02 05:30,0.00649,0.00760,0.17080,1.14665
delta,2017-01-02 05:45,-0.01050,-0.01230,0.17080,1.16655
delta,2017-01-02 06:00,0.00307,0.00360,0.17320,1.16688
delta,2017-01-02 06:15,-0.07638,-0.08945,0.17720,1.28695
delta,2017-01-02 06:30,-0.07208,-0.08441,0.18120,1.30895
delta,2017-01-02 06:45,-0.02981,-0.03491,0.18880,1.31081
delta,2017-01-02 07:00,-0.01554,-0.01820,0.18600,1.27517
delta,2017-01-02 07:15,-0.06634,-0.07769,0.17920,1.28871
delta,2017-01-02 07:30,-0.09311,-0.10904,0.17360,1.28222
delta,2017-01-02 07:45,-0.10869,-0.12729,0.17240,1.29235
delta,2017-01-02 08:00,-0.08750,-0.10247,0.17720,1.29998
delta,2017-01-02 08:15,-0.05401,-0.06325,0.18400,1.30671
delta,2017-01-02 08:30,-0.11899,-0.13935,0.17320,1.30983
