CustomerID,datetime,NormDelta,AbsDelta,Leaders,Demand
delta,2017-01-01 00:00,0.01987,0.03079,0.26389,1.50503
delta,2017-01-01 00:15,0.01437,0.02226,0.26092,1.49625
delta,2017-01-01 00:30,0.02604,0.04035,0.26632,1.50961
delta,2017-01-01 00:45,0.01247,0.01932,0.25951,1.49101
delta,2017-01-01 01:00,0.02291,0.03550,0.26191,1.48876
delta,2017-01-01 01:15,0.04699,0.07280,0.27011,1.49917
delta,2017-01-01 01:30,0.05517,0.08548,0.27111,1.49235
delta,2017-01-01 01:45,0.05117,0.07928,0.27015,1.49292
delta,2017-01-01 02:00,0.03479,0.05390,0.26284,1.47580
delta,2017-01-01 02:15,0.02736,0.04239,0.26498,1.49976
delta,2017-01-01 02:30,0.03597,0.05573,0.26350,1.47780
delta,2017-01-01 02:45,0.02502,0.03876,0.26323,1.49321
delta,2017-01-01 03:00,0.02966,0.04595,0.26537,1.49845
delta,2017-01-01 03:15,0.02762,0.04279,0.26562,1.50308
delta,2017-01-01 03:30,0.04426,0.06857,0.26587,1.47873
delta,2017-01-01 03:45,0.01429,0.02214,0.26188,1.50195
delta,2017-01-01 04:00,0.02926,0.04533,0.26881,1.51909
delta,2017-01-01 04:15,0.04864,0.07536,0.27065,1.49976
delta,2017-01-01 04:30,0.03911,0.06060,0.27078,1.51530
delta,2017-01-01 04:45,0.04871,0.07547,0.27409,1.51971
delta,2017-01-01 05:00,0.03724,0.05770,0.27199,1.52521
delta,2017-01-01 05:15,0.02151,0.03333,0.27143,1.54639
delta,2017-01-01 05:30,0.02351,0.03643,0.27257,1.54991
delta,2017-01-01 05:45,0.04654,0.07211,0.28260,1.57258
delta,2017-01-01 06:00,0.00270,0.00418,0.27208,1.57929
delta,2017-01-01 06:15,0.02232,0.03458,0.28461,1.62181
delta,2017-01-01 06:30,-0.00761,-0.01179,0.27573,1.61647
delta,2017-01-01 06:45,0.01386,0.02147,0.27752,1.59365
delta,2017-01-01 07:00,0.00838,0.01298,0.27881,1.60963
delta,2017-01-01 07:15,0.02905,0.04501,0.28262,1.59980
delta,2017-01-01 07:30,0.03319,0.05142,0.27896,1.57208
delta,2017-01-01 07:45,0.02077,0.03218,0.27351,1.55963
delta,2017-01-01 08:00,0.00009,0.00014,0.26585,1.54709
delta,2017-01-01 08:15,-0.00977,-0.01514,0.26420,1.55275
delta,2017-01-01 08:30,-0.00367,-0.00569,0.26347,1.53906
delta,2017-01-01 08:45,-0.01661,-0.02573,0.26276,1.55497
delta,2017-01-01 09:00,-0.02490,-0.03858,0.25878,1.54465
delta,2017-01-01 09:15,-0.00837,-0.01297,0.26107,1.53237
delta,2017-01-01 09:30,-0.04503,-0.06977,0.25461,1.55153
delta,2017-01-01 09:45,-0.03640,-0.05640,0.25341,1.53118
delta,2017-01-01 10:00,-0.04104,-0.06359,0.25751,1.56223
delta,2017-01-01 10:15,-0.04124,-0.06390,0.25658,1.55715
delta,2017-01-01 10:30,-0.04366,-0.06764,0.25271,1.53840
delta,2017-01-01 10:45,-0.05818,-0.09014,0.25117,1.55189
delta,2017-01-01 11:00,-0.05726,-0.08872,0.24996,1.54346
delta,2017-01-01 11:15,-0.05705,-0.08839,0.25538,1.57467
delta,2017-01-01 11:30,-0.07817,-0.12111,0.24889,1.56959
delta,2017-01-01 11:45,-0.09710,-0.15044,0.24463,1.57413
delta,2017-01-01 12:00,-0.06870,-0.10644,0.25081,1.56614
delta,2017-01-01 12:15,-0.08643,-0.13391,0.24858,1.58060
delta,2017-01-01 12:30,-0.07280,-0.11279,0.24972,1.56612
delta,2017-01-01 12:45,-0.04746,-0.07353,0.25431,1.55359
delta,2017-01-01 13:00,-0.07355,-0.11395,0.25287,1.58565
delta,2017-01-01 13:15,-0.08099,-0.12548,0.24718,1.56403
delta,2017-01-01 13:30,-0.04494,-0.06963,0.25887,1.57619
delta,2017-01-01 13:45,-0.04250,-0.06585,0.25961,1.57671
delta,2017-01-01 14:00,-0.06412,-0.09934,0.24904,1.54872
delta,2017-01-01 14:15,-0.10467,-0.16217,0.24231,1.57236
delta,2017-01-01 14:30,-0.09246,-0.14325,0.24369,1.56152
delta,2017-01-01 14:45,-0.10268,-0.15909,0.24215,1.56834
delta,2017-01-01 15:00,-0.10118,-0.15676,0.24277,1.56967
delta,2017-01-01 15:15,-0.05378,-0.08332,0.25433,1.56350
