CustomerID,datetime,NormDelta,AbsDelta,Leaders,Demand
delta,2017-01-01 00:00,-0.01677,-0.01291,0.12530,0.77884
delta,2017-01-01 00:15,-0.02956,-0.02275,0.12205,0.76883
delta,2017-01-01 00:30,-0.02705,-0.02082,0.12317,0.77373
delta,2017-01-01 00:45,0.01271,0.00978,0.12683,0.76551
delta,2017-01-01 01:00,-0.03464,-0.02666,0.12257,0.77591
delta,2017-01-01 01:15,-0.01584,-0.01219,0.12428,0.77189
delta,2017-01-01 01:30,-0.01915,-0.01474,0.12293,0.76619
delta,2017-01-01 01:45,-0.00914,-0.00703,0.12647,0.78013
delta,2017-01-01 02:00,-0.02318,-0.01784,0.12490,0.78134
delta,2017-01-01 02:15,-0.03804,-0.02928,0.12203,0.77522
delta,2017-01-01 02:30,-0.05985,-0.04606,0.11980,0.77838
delta,2017-01-01 02:45,-0.02758,-0.02123,0.12211,0.76766
delta,2017-01-01 03:00,-0.01024,-0.00788,0.12544,0.77468
delta,2017-01-01 03:15,-0.03976,-0.03060,0.12244,0.77906
delta,2017-01-01 03:30,-0.06709,-0.05163,0.12100,0.79128
delta,2017-01-01 03:45,-0.00975,-0.00750,0.12680,0.78261
delta,2017-01-01 04:00,-0.01823,-0.01403,0.12574,0.78266
delta,2017-01-01 04:15,-0.03930,-0.03024,0.12323,0.78353
delta,2017-01-01 04:30,-0.00567,-0.00436,0.12859,0.79041
delta,2017-01-01 04:45,-0.01927,-0.01483,0.12824,0.79874
delta,2017-01-01 05:00,-0.06460,-0.04972,0.12364,0.80551
delta,2017-01-01 05:15,-0.04192,-0.03226,0.12632,0.80444
delta,2017-01-01 05:30,-0.05961,-0.04588,0.12496,0.80973
delta,2017-01-01 05:45,-0.02415,-0.01859,0.13151,0.82248
delta,2017-01-01 06:00,-0.09510,-0.07319,0.12271,0.82329
delta,2017-01-01 06:15,-0.10192,-0.07844,0.12402,0.83655
delta,2017-01-01 06:30,-0.03264,-0.02512,0.13009,0.82034
