datetimestr,Demand,CustomerID
01AUG2017:13:45,6346.4,1515
01AUG2017:14:00,6345.5,1515
01AUG2017:14:15,6282.8,1515
01AUG2017:14:30,6290.0,1515
01AUG2017:14:45,6272.4,1515
01AUG2017:15:00,6285.0,1515
01AUG2017:15:15,6130.7,1515
01AUG2017:15:30,6129.3,1515
01AUG2017:15:45,6084.6,1515
01AUG2017:16:00,6084.7,1515
01AUG2017:16:15,5959.3,1515
01AUG2017:16:30,5998.1,1515
01AUG2017:16:45,5986.1,1515
01AUG2017:17:00,6034.7,1515
01AUG2017:17:15,5974.6,1515
01AUG2017:17:30,5971.8,1515
01AUG2017:17:45,5957.4,1515
01AUG2017:18:00,5930.7,1515
01AUG2017:18:15,5833.5,1515
01AUG2017:18:30,5788.8,1515
01AUG2017:18:45,5704.2,1515
01AUG2017:19:00,5697.2,1515
01AUG2017:19:15,5566.3,1515
01AUG2017:19:30,5485.7,1515
01AUG2017:19:45,5451.3,1515
01AUG2017:20:00,5438.5,1515
01AUG2017:20:15,5252.9,1515
01AUG2017:20:30,5218.3,1515
01AUG2017:20:45,5169.2,1515
01AUG2017:21:00,5135.1,1515
01AUG2017:21:15,4979.3,1515
01AUG2017:21:30,4868.2,1515
01AUG2017:21:45,4833.2,1515
01AUG2017:22:00,4830.5,1515
01AUG2017:22:15,4515.4,1515
01AUG2017:22:30,4449.2,1515
01AUG2017:22:45,4399.8,1515
01AUG2017:23:00,4485.9,1515
01AUG2017:23:15,4454.4,1515
01AUG2017:23:30,4445.0,1515
01AUG2017:23:45,4440.7,1515
01DEC2017:00:00,3774.6,1515
01DEC2017:00:15,3536.0,1515
01DEC2017:00:30,3472.2,1515
01DEC2017:00:45,3443.9,1515
01DEC2017:01:00,3451.2,1515
01DEC2017:01:15,3518.3,1515
01DEC2017:01:30,3484.7,1515
01DEC2017:01:45,3476.9,1515
01DEC2017:02:00,3469.7,1515
01DEC2017:02:15,3512.8,1515
01DEC2017:02:30,3490.0,1515
01DEC2017:02:45,3457.6,1515
01DEC2017:03:00,3457.2,1515
01DEC2017:03:15,3531.9,1515
01DEC2017:03:30,3550.0,1515
01DEC2017:03:45,3527.9,1515
01DEC2017:04:00,3526.9,1515
01DEC2017:04:15,3618.0,1515
01DEC2017:04:30,3650.2,1515
01DEC2017:04:45,3663.5,1515
01DEC2017:05:00,3706.6,1515
01DEC2017:05:15,3879.0,1515
01DEC2017:05:30,3960.0,1515
01DEC2017:05:45,3983.3,1515
01DEC2017:06:00,4042.0,1515
01DEC2017:06:15,4328.5,1515
01DEC2017:06:30,4433.5,1515
01DEC2017:06:45,4440.9,1515
01DEC2017:07:00,4484.0,1515
01DEC2017:07:15,4522.8,1515
01DEC2017:07:30,4567.9,1515
01DEC2017:07:45,4578.4,1515
01DEC2017:08:00,4627.1,1515
01DEC2017:08:15,4608.8,1515
01DEC2017:08:30,4663.1,1515
01DEC2017:08:45,4701.6,1515
01DEC2017:09:00,4732.8,1515
01DEC2017:09:15,4719.9,1515
01DEC2017:09:30,4728.7,1515
01DEC2017:09:45,4753.3,1515
01DEC2017:10:00,4785.6,1515
01DEC2017:10:15,4806.2,1515
01DEC2017:10:30,4832.0,1515
01DEC2017:10:45,4816.5,1515
01DEC2017:11:00,4866.4,1515
01DEC2017:11:15,4881.7,1515
01DEC2017:11:30,4881.3,1515
01DEC2017:11:45,4887.0,1515
01DEC2017:12:00,4937.0,1515
01DEC2017:12:15,4880.5,1515
01DEC2017:12:30,4943.5,1515
01DEC2017:12:45,4966.9,1515
01DEC2017:13:00,5019.6,1515
01DEC2017:13:15,5013.6,1515
01DEC2017:13:30,5001.6,1515
01DEC2017:13:45,5012.9,1515
01DEC2017:14:00,5031.5,1515
01DEC2017:14:15,5015.2,1515
01DEC2017:14:30,5014.5,1515
01DEC2017:14:45,4997.6,1515
01DEC2017:15:00,5048.2,1515
01DEC2017:15:15,5000.0,1515
01DEC2017:15:30,4990.4,1515
01DEC2017:15:45,4987.5,1515
01DEC2017:16:00,5039.4,1515
01DEC2017:16:15,4963.9,1515
01DEC2017:16:30,4954.6,1515
01DEC2017:16:45,4976.2,1515
01DEC2017:17:00,4997.5,1515
01DEC2017:17:15,4925.8,1515
01DEC2017:17:30,4893.8,1515
01DEC2017:17:45,4893.1,1515
01DEC2017:18:00,4880.4,1515
01DEC2017:18:15,4805.0,1515
01DEC2017:18:30,4815.5,1515
01DEC2017:18:45,4782.4,1515
01DEC2017:19:00,4773.2,1515
01DEC2017:19:15,4731.0,1515
01DEC2017:19:30,4671.8,1515
01DEC2017:19:45,4630.9,1515
01DEC2017:20:00,4623.9,1515
01DEC2017:20:15,4547.7,1515
01DEC2017:20:30,4489.1,1515
01DEC2017:20:45,4446.2,1515
01DEC2017:21:00,4464.3,1515
01DEC2017:21:15,4351.2,1515
01DEC2017:21:30,4327.4,1515
01DEC2017:21:45,4280.2,1515
01DEC2017:22:00,4258.7,1515
01DEC2017:22:15,4136.0,1515
01DEC2017:22:30,4069.2,1515
01DEC2017:22:45,4027.4,1515
01DEC2017:23:00,3985.5,1515
01DEC2017:23:15,3904.8,1515
01DEC2017:23:30,3852.4,1515
01DEC2017:23:45,3830.6,1515
01FEB2017:00:00,3629.0,1515
01FEB2017:00:15,3415.4,1515
01FEB2017:00:30,3374.5,1515
01FEB2017:00:45,3363.0,1515
01FEB2017:01:00,3349.2,1515
01FEB2017:01:15,3373.9,1515
01FEB2017:01:30,3352.4,1515
01FEB2017:01:45,3367.5,1515
01FEB2017:02:00,3353.0,1515
01FEB2017:02:15,3400.0,1515
01FEB2017:02:30,3378.7,1515
01FEB2017:02:45,3386.0,1515
01FEB2017:03:00,3376.6,1515
01FEB2017:03:15,3457.5,1515
01FEB2017:03:30,3444.0,1515
01FEB2017:03:45,3442.0,1515
01FEB2017:04:00,3461.6,1515
01FEB2017:04:15,3562.5,1515
01FEB2017:04:30,3610.0,1515
01FEB2017:04:45,3607.9,1515
01FEB2017:05:00,3641.3,1515
01FEB2017:05:15,3802.8,1515
01FEB2017:05:30,3862.3,1515
01FEB2017:05:45,3924.7,1515
01FEB2017:06:00,3975.8,1515
01FEB2017:06:15,4285.8,1515
01FEB2017:06:30,4372.2,1515
01FEB2017:06:45,4427.3,1515
01FEB2017:07:00,4450.9,1515
