,Demand,DemandCharge,EnergyCharge,FacilityCharge,TotalCharge,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge
month,entire year,entire year,entire year,entire year,entire year,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
CustomerID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVXPJ4,269448.80,8422.94,20445.51,14034.05,42902.50,18069.60,17172.00,20624.00,19516.00,22188.00,24937.60,27514.40,27926.40,24049.60,25168.00,21417.60,20865.60,0,0,0,0,0,1996.29,2071.30,2233.57,2121.79,0,0,0,1284.94,1220.53,1476.96,1385.56,1589.17,2111.73,2243.61,2353.26,1973.05,1801.18,1526.31,1479.21,864.42,1016.96,1118.66,1067.81,1169.50,1220.35,1271.20,1372.90,1322.05,1423.74,1169.50,1016.96,2149.36,2237.49,2595.62,2453.37,2758.67,5328.37,5586.11,5959.72,5416.89,3224.92,2695.82,2496.17
HW3993,293208.00,12819.49,23100.18,19779.87,55699.54,24011.20,20284.80,22770.40,22628.00,23698.40,27437.60,33106.40,33454.40,26022.40,23937.60,17528.00,18328.80,0,0,0,0,0,2920.90,3369.47,3458.21,3070.91,0,0,0,1731.22,1459.92,1644.76,1619.89,1708.64,2456.24,2894.66,3013.40,2273.99,1738.70,1258.32,1300.43,1627.14,1423.74,1423.74,1423.74,1677.98,1830.53,2084.77,2186.46,1932.22,1932.22,1118.66,1118.66,3358.35,2883.66,3068.51,3043.63,3386.63,7207.67,8348.90,8658.07,7277.12,3670.93,2376.98,2419.08
HW7T2D,408687.60,12127.25,30338.31,18864.61,61330.16,32085.20,30586.80,36116.40,34294.80,38157.20,42655.60,47236.00,43247.20,33167.20,27515.60,23598.80,20026.80,0,0,0,0,0,3148.37,3261.62,3186.61,2530.66,0,0,0,2254.96,2150.82,2558.52,2417.68,2712.28,3448.30,3717.21,3498.73,2578.00,1942.06,1661.89,1397.85,1474.59,1423.74,1576.29,1627.14,1881.38,1855.95,1957.65,1906.80,1576.29,1347.47,1220.35,1016.96,3729.56,3574.57,4134.81,4044.82,4593.65,8452.62,8936.47,8592.14,6684.94,3289.53,2882.24,2414.81
HWEO46,444836.00,16513.50,34247.07,27559.62,78320.19,30504.00,29626.40,36506.40,37148.80,41736.80,43233.60,46374.40,45789.60,38314.40,37476.00,29725.60,28400.00,0,0,0,0,0,3691.07,3894.53,4457.82,4470.08,0,0,0,2179.88,2115.49,2638.60,2660.80,3007.87,3672.90,3875.64,4002.99,3234.19,2703.03,2132.32,2023.37,1932.22,1932.22,2135.62,2084.77,2186.46,2186.46,2440.70,2847.49,2847.49,2745.79,2593.25,1627.14,4112.10,4047.72,4774.21,4745.57,5194.33,9550.44,10210.87,11308.30,10551.76,5448.82,4725.56,3650.51
HZBVNY,263815.20,7206.14,19448.99,10067.90,36723.04,15428.00,13984.00,15912.80,17518.40,23840.00,31338.40,34651.20,31932.00,25368.00,22148.80,15921.60,15772.00,0,0,0,0,0,1895.30,1895.30,1757.54,1658.02,0,0,0,1080.48,980.32,1123.44,1227.29,1682.25,2462.89,2639.69,2525.18,1945.13,1551.50,1126.72,1104.09,610.18,559.33,711.87,762.72,966.11,1118.66,1118.66,1067.81,966.11,813.57,762.72,610.18,1690.66,1539.65,1835.31,1990.01,2648.36,5476.84,5653.65,5350.52,4569.26,2365.07,1889.44,1714.26
HZJPNW,441380.00,17085.12,32841.49,22627.36,72553.97,21196.00,17060.00,22672.00,25432.00,27132.00,38636.00,51884.00,53276.00,48408.00,44424.00,41416.00,49844.00,0,0,0,0,0,3429.28,4240.64,4738.24,4676.96,0,0,0,1479.68,1189.79,1591.65,1774.37,1910.89,3126.59,4096.27,4398.65,3770.78,3127.19,2906.91,3468.72,1271.20,1016.96,1271.20,1271.20,1271.20,2288.16,2796.64,2796.64,3050.88,2033.92,1779.68,1779.68,2750.88,2206.75,2862.85,3045.57,3182.09,8844.03,11133.55,11933.53,11498.62,5161.11,4686.59,5248.40
HZP5OY,422636.80,12909.70,31376.34,19881.57,64167.60,28497.60,28774.40,35084.80,35756.80,35956.80,39300.00,43330.40,42272.80,38671.20,37232.80,30196.80,27562.40,0,0,0,0,0,2945.41,2983.65,3621.95,3358.69,0,0,0,1989.05,2013.29,2479.47,2509.12,2542.20,3183.71,3396.23,3484.93,3060.59,2639.30,2139.58,1938.87,1067.81,1169.50,1423.74,1474.59,1627.14,1830.53,1881.38,2339.01,2135.62,1983.07,1677.98,1271.20,3056.86,3182.79,3903.21,3983.72,4169.34,7959.64,8261.25,9445.89,8554.89,4622.37,3817.56,3210.07
I03LFY,493344.00,10780.54,36027.62,18000.19,64808.35,38638.40,35473.60,39524.80,39120.00,42328.00,40628.80,44444.80,45534.40,44528.00,44334.40,40428.80,38360.00,0,0,0,0,0,2345.34,2795.39,2669.89,2969.92,0,0,0,2702.41,2477.57,2774.52,2729.42,2972.14,3177.00,3443.91,3653.69,3483.97,3115.42,2829.79,2667.76,1322.05,1322.05,1322.05,1322.05,1423.74,1423.74,1728.83,1728.83,1830.53,1627.14,1525.44,1423.74,4024.46,3799.62,4096.57,4051.47,4395.88,6946.09,7968.13,8052.41,8284.42,4742.56,4355.23,4091.51
I1FK59,454017.60,15985.98,35323.54,26135.87,77445.39,16798.40,26046.40,39587.20,37398.40,38712.00,40230.40,44398.40,49542.40,45840.00,44230.40,36502.40,34731.20,0,0,0,0,0,3567.04,3640.58,4289.66,4488.70,0,0,0,1192.37,1885.02,2887.84,2703.34,2813.65,3524.93,3758.87,4355.49,3885.09,3210.17,2629.91,2476.86,1728.83,2033.92,2135.62,2033.92,1932.22,2135.62,2339.01,2542.40,2644.10,2644.10,2135.62,1830.53,2921.20,3918.94,5023.45,4737.26,4745.87,9227.59,9738.45,11187.55,11017.89,5854.27,4765.53,4307.39
I1Y34I,286709.56,6661.73,21286.92,11161.14,39109.78,24822.80,20729.20,25497.20,22201.16,23040.00,23405.60,23940.00,27577.60,25570.40,25444.80,23731.20,20749.60,0,0,0,0,0,1553.10,1608.99,1871.52,1628.11,0,0,0,1753.37,1462.67,1810.70,1568.42,1635.63,1911.99,1914.33,2271.38,2020.23,1802.59,1678.13,1457.48,889.84,813.57,864.42,889.84,864.42,940.69,966.11,1144.08,991.54,1118.66,915.26,762.72,2643.21,2276.23,2675.12,2458.26,2500.05,4405.78,4489.44,5286.98,4639.88,2921.24,2593.39,2220.20
I253G2,541672.80,19587.36,41813.97,31729.15,93130.48,38697.60,33456.00,40788.00,40864.80,44164.80,51206.40,55176.00,58267.20,49872.00,50148.00,40063.20,38968.80,0,0,0,0,0,4418.11,4679.90,5244.67,5244.67,0,0,0,2766.51,2392.56,2947.03,2923.30,3175.36,4374.42,4628.07,5057.07,4239.28,3626.09,2887.36,2796.93,2135.62,2135.62,2288.16,2135.62,2288.16,2745.79,3050.88,3355.97,3355.97,3508.51,2440.70,2288.16,4902.12,4528.17,5235.19,5058.91,5463.52,11538.32,12358.86,13657.71,12839.92,7134.60,5328.06,5085.09
I2GA47,246606.40,9367.17,19040.94,17186.62,45594.73,14296.80,13187.20,17820.00,19092.80,20361.60,23930.40,26283.20,26492.00,22664.80,25251.20,19286.40,17940.00,0,0,0,0,0,2186.02,2336.03,2386.53,2458.59,0,0,0,1017.73,942.09,1286.45,1360.94,1462.05,2038.99,2211.49,2282.33,1926.06,1821.57,1393.46,1297.79,1169.50,1169.50,1220.35,1372.90,1423.74,1576.29,1525.44,1728.83,1627.14,1728.83,1372.90,1271.20,2187.23,2111.59,2506.80,2733.84,2885.80,5801.29,6072.96,6397.69,6011.78,3550.40,2766.36,2568.99
I3UZCV,822374.00,17344.70,60037.18,29618.96,107000.85,57342.00,54553.20,61231.20,55430.80,61155.60,67974.40,74197.60,79292.80,76600.40,76536.80,80328.40,77730.80,0,0,0,0,0,3952.86,4213.92,4626.46,4551.46,0,0,0,4025.59,3835.52,4327.17,3899.52,4325.01,5415.98,5684.04,6239.18,5902.62,5361.23,5615.25,5406.07,2237.31,2415.28,2288.16,2262.74,2364.43,2339.01,2593.25,2745.79,2694.94,2567.82,2618.67,2491.55,6262.90,6250.80,6615.33,6162.25,6689.44,11707.85,12491.21,13611.44,13149.02,7929.06,8233.92,7897.62
I4DN3B,359120.00,10397.66,26986.87,16728.99,54113.53,26152.00,25686.40,28165.60,27791.20,30252.80,31071.20,35060.80,34823.20,34812.00,32512.80,28102.40,24689.60,0,0,0,0,0,2308.58,2533.60,2809.12,2746.37,0,0,0,1844.61,1806.77,2002.33,1968.27,2154.08,2589.42,2840.05,2929.57,2815.60,2314.28,1987.63,1734.27,1067.81,1169.50,1169.50,1271.20,1423.74,1423.74,1576.29,1779.68,1728.83,1728.83,1271.20,1118.66,2912.41,2976.27,3171.83,3239.47,3577.82,6321.74,6949.94,7518.37,7290.80,4043.12,3258.83,2852.93
I4LZR6,272995.73,10440.32,21177.41,17593.41,49211.13,19624.00,17820.80,21299.20,20717.87,21793.07,23310.40,27392.00,28550.40,25576.00,26148.80,21102.40,19660.80,0,0,0,0,0,2247.30,2547.33,2822.85,2822.85,0,0,0,1397.69,1271.32,1534.61,1483.73,1569.83,2034.36,2339.47,2526.30,2207.09,1892.25,1517.11,1403.65,1118.66,1016.96,1322.05,1322.05,1322.05,1423.74,1627.14,1830.53,1830.53,2135.62,1322.05,1322.05,2516.34,2288.28,2856.66,2805.78,2891.87,5705.40,6513.93,7179.68,6860.47,4027.86,2839.16,2725.70
I4NNMS,437189.87,11630.14,32597.13,19017.15,63244.43,30818.80,30729.20,36650.00,35617.20,37683.87,38869.60,41878.40,42626.80,38932.40,37228.40,34639.20,31516.00,0,0,0,0,0,2657.63,2744.90,3113.81,3113.81,0,0,0,2182.71,2171.34,2611.99,2514.93,2681.17,3178.09,3323.51,3507.77,3091.53,2647.40,2454.06,2232.64,1398.32,1398.32,1525.44,1525.44,1525.44,1652.56,1677.98,1932.22,2008.50,1627.14,1398.32,1347.47,3581.03,3569.66,4137.43,4040.37,4206.61,7488.28,7746.39,8553.80,8213.83,4274.54,3852.38,3580.11
I4NWHY,487489.20,11236.96,36090.81,18457.82,65785.59,28989.60,28987.20,35502.80,37886.80,38984.00,43884.40,49780.00,51094.40,46524.80,48508.40,42156.80,35190.00,0,0,0,0,0,2575.76,2662.29,3018.21,2980.70,0,0,0,2030.82,2030.20,2516.71,2665.91,2763.36,3524.21,3875.12,4134.92,3667.06,3437.01,2980.06,2465.44,1118.66,1169.50,1296.62,1398.32,1372.90,1550.86,1576.29,1805.10,1779.68,1983.07,1728.83,1677.98,3149.47,3199.70,3813.34,4064.23,4136.26,7650.83,8113.70,8958.23,8427.44,5420.08,4708.90,4143.42
I7RJZD,250778.64,8414.37,18915.85,12915.39,40245.61,14507.20,14472.00,19540.80,18721.20,20621.52,23095.60,27000.24,28632.80,24140.48,23684.40,18885.60,17476.80,0,0,0,0,0,1860.00,2003.15,2316.18,2235.04,0,0,0,1032.48,1029.22,1395.52,1327.03,1469.15,1912.88,2175.92,2383.52,1937.34,1682.64,1340.25,1229.89,737.30,838.99,940.69,1042.38,1042.38,1194.93,1245.78,1474.59,1423.74,1194.93,889.84,889.84,1769.78,1868.21,2336.21,2369.41,2511.53,4967.81,5424.85,6174.29,5596.12,2877.57,2230.09,2119.73
I7ZCJU,353806.13,15418.78,28187.16,25932.48,69538.42,21632.53,20021.60,26513.60,26507.20,28339.20,31821.60,38133.60,42168.80,34915.20,34909.60,26251.20,22592.00,0,0,0,0,0,3569.98,3669.50,4196.03,3983.26,0,0,0,1551.09,1439.03,1935.57,1921.23,2058.94,2894.78,3368.87,3797.41,3121.14,2554.13,1909.18,1635.80,1830.53,1627.14,1932.22,1881.38,2033.92,2237.31,2288.16,2694.94,2542.40,3050.88,2033.92,1779.68,3381.62,3066.16,3867.80,3802.60,4092.86,8702.07,9326.53,10688.39,9646.81,5605.01,3943.10,3415.48
I8V0DS,364755.60,17678.08,27938.39,25957.90,71574.38,20348.40,19518.00,26842.00,26523.60,27982.80,34468.80,44052.40,47935.60,37757.60,33003.20,24367.60,21955.60,0,0,0,0,0,4028.61,4229.12,4717.41,4702.94,0,0,0,1449.79,1390.62,1933.03,1895.82,2003.52,2890.34,3585.37,3995.31,3113.71,2367.58,1748.04,1565.28,1398.32,1627.14,1728.83,1957.65,1957.65,2415.28,2923.76,2923.76,2847.49,3025.46,1779.68,1372.90,2848.11,3017.75,3661.86,3853.47,3961.17,9334.23,10738.25,11636.48,10664.14,5393.03,3527.72,2938.17
I94HHF,342576.00,8083.20,25510.64,14339.14,47932.98,26787.20,26730.13,29849.07,29180.80,29460.80,29632.00,29747.20,31027.20,28112.00,28988.80,27092.80,25968.00,0,0,0,0,0,2020.80,1996.29,2146.30,1919.81,0,0,0,1903.84,1897.61,2129.56,2063.96,2097.48,2423.77,2364.57,2541.56,2263.22,2062.05,1926.59,1836.44,1118.66,1118.66,1220.35,1220.35,1220.35,1220.35,1220.35,1322.05,1220.35,1220.35,1118.66,1118.66,3022.49,3016.26,3349.91,3284.31,3317.83,5664.92,5581.21,6009.91,5403.38,3282.40,3045.24,2955.09
I9AXUG,396214.40,13373.71,29910.83,22220.58,65505.12,21401.20,20872.00,30117.20,31195.20,33545.60,38399.20,44209.20,42292.00,40851.60,38094.40,29203.20,26033.60,0,0,0,0,0,3149.10,3293.73,3361.63,3569.25,0,0,0,1513.02,1485.47,2162.50,2207.55,2377.37,3152.25,3541.27,3561.97,3284.23,2707.82,2074.75,1842.65,1449.17,1423.74,1550.86,1703.41,1728.83,1906.80,2008.50,2237.31,2211.89,2415.28,1983.07,1601.71,2962.19,2909.21,3713.36,3910.95,4106.20,8208.16,8843.49,9160.91,9065.37,5123.10,4057.83,3444.36
I9WO06,439338.24,15177.32,32428.49,35496.99,83102.80,37917.12,37137.12,43414.80,31661.04,23867.28,9715.68,46581.60,59942.16,28708.56,61303.44,42285.84,16803.60,0,0,0,0,0,1475.88,4893.90,4505.17,4302.36,0,0,0,2728.20,2668.32,3133.43,2262.45,1706.76,728.70,3575.82,4723.18,2322.21,4372.46,3023.50,1183.45,1998.33,1998.33,1952.56,2532.23,2532.23,2318.67,3050.88,3035.63,2730.54,6833.97,4484.79,2028.84,4726.53,4666.64,5086.00,4794.69,4238.99,4523.25,11520.59,12263.98,9355.12,11206.43,7508.29,3212.29
IAZ8P3,350256.27,13457.79,27022.07,21305.31,61785.17,25804.80,22628.80,24392.00,23833.60,27217.87,30332.00,37370.40,41550.40,33178.40,32478.40,25684.80,25784.80,0,0,0,0,0,3046.40,3107.68,3683.23,3620.48,0,0,0,1851.04,1622.12,1766.48,1710.95,1961.07,2631.91,3127.04,3573.80,2768.32,2333.70,1835.99,1839.65,1576.29,1474.59,1525.44,1576.29,1627.14,1932.22,2033.92,2339.01,2288.16,2084.77,1423.74,1423.74,3427.33,3096.71,3291.92,3287.24,3588.21,7610.54,8268.64,9596.04,8676.96,4418.47,3259.74,3263.40
IBBG9S,694644.12,18539.67,52337.12,32110.51,102987.30,50475.48,48129.60,56886.84,54635.64,57120.60,57945.60,61557.96,64084.92,57551.16,70402.44,62697.60,53156.28,0,0,0,0,0,4142.79,4513.86,4956.33,4926.70,0,0,0,3604.17,3431.02,4089.80,3896.24,4090.82,4860.47,5041.82,5411.15,4701.90,4985.15,4437.54,3787.03,2379.69,2311.04,2562.74,2532.23,2516.98,2585.62,2814.44,3111.90,3104.27,3020.37,2631.38,2539.86,5983.85,5742.06,6652.54,6428.47,6607.80,11588.88,12370.12,13479.38,12732.86,8005.52,7068.92,6326.89
IBF8YH,330246.40,12003.23,26168.44,22576.51,60748.18,28384.80,25436.00,27212.80,25371.20,28228.80,28683.20,30440.80,32009.60,28080.00,27465.60,23928.80,25004.80,0,0,0,0,0,3096.90,2960.61,2972.86,2972.86,0,0,0,2054.27,1836.43,1986.54,1848.91,2061.60,2630.48,2730.75,2930.67,2522.43,2009.01,1743.03,1814.32,1881.38,1779.68,1881.38,1830.53,1881.38,1983.07,1932.22,1932.22,1932.22,1932.22,1728.83,1881.38,3935.64,3616.11,3867.92,3679.44,3942.98,7710.44,7623.58,7835.76,7427.52,3941.23,3471.87,3695.69
IBTI0D,373623.20,14440.74,28966.26,22576.51,65983.51,27584.80,24420.80,29781.60,27936.00,29326.40,32874.40,39761.60,41065.60,34868.00,33769.60,26786.40,25448.00,0,0,0,0,0,3569.98,3444.48,3732.26,3694.02,0,0,0,1956.08,1739.54,2151.01,2008.36,2120.84,2906.31,3370.05,3590.26,2952.65,2435.42,1924.99,1810.76,1322.05,1423.74,1677.98,1830.53,1779.68,2237.31,2135.62,2339.01,2288.16,2288.16,1728.83,1525.44,3278.13,3163.28,3828.99,3838.89,3900.52,8713.61,8950.15,9661.52,8934.83,4723.58,3653.82,3336.20
IBUARY,399072.00,16219.84,31079.84,24559.58,71859.26,20782.40,21541.60,28320.80,28420.80,30120.80,32103.20,36512.80,46245.60,43117.60,41916.00,35908.80,34081.60,0,0,0,0,0,3530.27,3831.78,4404.38,4453.41,0,0,0,1499.41,1552.80,2060.16,2054.43,2189.38,2871.35,3153.34,4052.81,3610.50,3015.14,2582.66,2437.87,1271.20,1423.74,1728.83,1830.53,1932.22,2135.62,2389.86,2694.94,2694.94,2542.40,2135.62,1779.68,2770.61,2976.54,3788.99,3884.96,4121.60,8537.24,9374.97,11152.14,10758.85,5557.54,4718.27,4217.55
IBYBTW,222908.80,8493.06,16964.94,13627.26,39085.26,14608.00,15152.00,17099.20,16067.20,17465.60,19736.00,22985.60,24518.40,22273.60,20390.40,16243.20,16369.60,0,0,0,0,0,1898.24,1922.75,2323.78,2348.29,0,0,0,1037.87,1079.64,1227.19,1145.43,1249.37,1661.16,1887.57,2091.58,1815.47,1458.71,1155.24,1155.70,813.57,915.26,915.26,1016.96,1016.96,1220.35,1322.05,1525.44,1525.44,1423.74,1118.66,813.57,1851.44,1994.91,2142.46,2162.39,2266.33,4779.75,5132.37,5940.79,5689.20,2882.45,2273.90,1969.27
ICGH20,292668.80,11011.46,22495.46,18406.98,51913.89,21972.00,20661.60,23144.80,21365.60,22558.40,25724.80,29564.00,31574.40,28636.80,26974.40,21457.60,19034.40,0,0,0,0,0,2484.58,2833.63,2971.39,2721.86,0,0,0,1556.35,1467.25,1666.33,1531.08,1625.73,2218.59,2475.85,2731.05,2403.62,1942.25,1532.18,1345.17,1220.35,1169.50,1372.90,1372.90,1423.74,1576.29,1779.68,1881.38,1728.83,2288.16,1474.59,1118.66,2776.70,2636.76,3039.23,2903.98,3049.47,6279.46,7089.16,7583.82,6854.31,4230.41,3006.77,2463.83
ICPOGX,255945.20,9576.26,19439.25,17135.78,46151.28,17829.20,16612.80,20534.40,20854.40,20130.80,18703.60,22219.20,29935.60,25298.00,22434.00,21477.20,19916.00,0,0,0,0,0,1853.87,2260.29,2770.88,2691.22,0,0,0,1289.52,1197.81,1474.96,1486.69,1448.88,1555.64,1816.07,2478.29,2106.02,1610.87,1539.37,1435.12,1322.05,1296.62,1372.90,1296.62,1372.90,1220.35,1449.17,1728.83,1728.83,1703.41,1372.90,1271.20,2611.57,2494.43,2847.85,2783.32,2821.78,4629.87,5525.52,6978.00,6526.07,3314.28,2912.26,2706.32
IDPNAS,287598.40,12136.58,22246.27,19525.63,53908.48,19512.80,18509.60,23249.60,22588.00,23961.60,25459.20,30772.00,31181.60,26828.80,25221.60,19811.20,20502.40,0,0,0,0,0,2784.61,2933.15,3184.16,3234.66,0,0,0,1384.90,1311.57,1662.54,1607.65,1713.64,2226.87,2620.70,2764.98,2286.23,1815.68,1407.95,1443.57,1169.50,1016.96,1372.90,1372.90,1474.59,1779.68,1830.53,2033.92,2084.77,2237.31,1779.68,1372.90,2554.40,2328.53,3035.44,2980.55,3188.23,6791.15,7384.38,7983.06,7605.65,4052.99,3187.63,2816.46
IDSZE6,255857.60,12065.98,20255.61,19830.72,52152.31,18868.80,17443.20,19406.40,18616.00,19550.40,21692.80,26816.00,28776.00,25345.60,24854.40,17808.00,16680.00,0,0,0,0,0,2773.82,2948.35,3147.39,3196.42,0,0,0,1351.39,1250.64,1409.18,1342.77,1419.86,1968.03,2356.98,2615.71,2243.85,1810.70,1288.17,1198.32,1220.35,1220.35,1423.74,1423.74,1525.44,1830.53,1932.22,2033.92,2033.92,2339.01,1525.44,1322.05,2571.75,2470.99,2832.93,2766.51,2945.30,6572.39,7237.56,7797.02,7474.19,4149.70,2813.61,2520.37
IFT3YP,293577.20,11320.06,22638.14,19042.58,53000.78,18020.40,17907.20,22739.20,23332.80,25160.00,26440.80,32607.20,32257.60,26678.00,26155.60,21554.40,20724.00,0,0,0,0,0,2375.98,2938.54,3162.83,2842.70,0,0,0,1282.19,1282.20,1643.82,1673.23,1813.99,2262.52,2711.46,2815.70,2242.91,1886.10,1545.62,1478.40,1144.08,1347.47,1423.74,1576.29,1449.17,1423.74,1805.10,1932.22,1881.38,2008.50,1601.71,1449.17,2426.27,2629.68,3067.56,3249.52,3263.16,6062.25,7455.11,7910.75,6966.99,3894.59,3147.33,2927.56
IHM3YS,391752.00,13334.26,30674.76,24330.77,68339.78,26512.00,25086.00,32246.80,30626.80,34567.20,34748.80,36994.80,40595.20,35066.80,36000.00,30417.20,28890.40,0,0,0,0,0,3197.89,3259.17,3448.16,3429.04,0,0,0,1920.13,1816.19,2351.82,2221.20,2514.94,3094.05,3207.96,3575.72,3051.84,2616.80,2203.19,2100.90,1703.41,1677.98,1932.22,1957.65,1957.65,2084.77,2186.46,2262.74,2237.31,2466.13,1906.80,1957.65,3623.54,3494.18,4284.05,4178.85,4472.59,8376.71,8653.59,9286.62,8718.19,5082.93,4109.99,4058.55
IJUXHW,308346.40,9346.08,23348.32,15356.10,48050.49,23853.60,19548.80,23398.40,22123.20,25112.00,27064.80,30576.00,30932.00,28621.60,28452.00,23836.80,24827.20,0,0,0,0,0,2196.80,2308.58,2383.58,2457.12,0,0,0,1678.66,1381.20,1670.59,1572.34,1796.95,2288.39,2511.21,2618.48,2351.96,2034.74,1695.35,1748.45,1016.96,966.11,1067.81,1118.66,1271.20,1372.90,1423.74,1474.59,1576.29,1677.98,1271.20,1118.66,2695.62,2347.32,2738.40,2691.00,3068.15,5858.09,6243.53,6476.65,6385.37,3712.72,2966.55,2867.10
IL7PJT,221626.00,4754.18,16226.45,8949.25,29929.88,18763.20,16709.60,18816.80,17703.20,18679.60,18098.40,18966.00,19345.20,18102.80,18943.20,18636.80,18861.20,0,0,0,0,0,1223.17,1160.42,1166.54,1204.05,0,0,0,1317.59,1173.12,1329.03,1241.80,1317.64,1438.09,1469.50,1543.90,1422.87,1336.56,1314.21,1322.15,737.30,711.87,711.87,711.87,737.30,762.72,788.14,737.30,737.30,762.72,788.14,762.72,2054.88,1884.99,2040.90,1953.67,2054.94,3423.97,3418.06,3447.74,3364.21,2099.28,2102.35,2084.87
ILHF1U,738470.40,18825.50,54313.91,32796.96,105936.37,50037.60,47551.20,59695.20,61240.80,62277.60,68222.40,70504.80,70509.60,67315.20,67336.80,58627.20,55152.00,0,0,0,0,0,4978.46,4753.44,4491.65,4601.95,0,0,0,3498.10,3331.92,4233.83,4304.51,4402.51,5492.25,5530.55,5608.76,5207.30,4719.66,4115.56,3868.96,2440.70,2593.25,2745.79,2898.34,2898.34,3050.88,2898.34,2745.79,2898.34,2745.79,2593.25,2288.16,5938.81,5925.17,6979.62,7202.84,7300.84,13521.60,13182.32,12846.20,12707.59,7465.45,6708.81,6157.12
IODOSI,205774.40,3854.82,15040.93,7525.50,26421.25,19251.20,15783.20,18476.00,17038.40,17034.40,16765.60,16795.20,17728.80,16715.20,17228.00,15982.40,16976.00,0,0,0,0,0,998.14,923.14,998.14,935.39,0,0,0,1357.13,1108.66,1303.84,1195.41,1203.48,1325.67,1287.50,1420.27,1302.59,1215.20,1128.47,1192.70,813.57,610.18,610.18,610.18,661.02,610.18,559.33,610.18,610.18,610.18,610.18,610.18,2170.70,1718.84,1914.01,1805.58,1864.51,2933.99,2769.97,3028.59,2848.16,1825.38,1738.65,1802.88
IOJESP,325801.60,12244.93,25387.42,22678.21,60310.55,21731.20,20708.80,26368.00,24521.60,26125.60,29884.00,32842.40,34923.20,29220.80,30381.60,25349.60,23744.80,0,0,0,0,0,2998.85,3023.36,3148.86,3073.86,0,0,0,1555.69,1485.70,1908.54,1765.53,1887.59,2629.10,2826.03,3077.08,2524.30,2200.75,1823.39,1703.72,1576.29,1677.98,1881.38,1881.38,1830.53,1983.07,1983.07,2084.77,2033.92,2084.77,1881.38,1779.68,3131.98,3163.68,3789.92,3646.91,3718.12,7611.02,7832.46,8310.71,7632.08,4285.52,3704.76,3483.40
IQKWFW,266546.80,9545.86,20133.73,18254.43,47934.01,17498.80,16899.20,21083.60,19046.00,20742.40,24617.60,29648.00,30488.80,25452.80,24904.80,19220.80,16944.00,0,0,0,0,0,2321.57,2363.73,2464.72,2395.84,0,0,0,1243.00,1203.19,1513.04,1356.02,1483.43,2050.97,2369.28,2497.70,2060.98,1778.78,1372.02,1205.33,1118.66,1423.74,1245.78,1118.66,1855.95,1805.10,1855.95,1906.80,1906.80,2084.77,1016.96,915.26,2361.66,2626.93,2758.82,2474.68,3339.38,6177.64,6588.96,6869.22,6363.62,3863.55,2388.98,2120.59
IS54JC,210154.40,7370.88,16580.77,14135.74,38087.39,16769.20,15834.00,16037.60,16105.60,17092.80,17756.40,18570.40,20322.40,18710.40,19963.20,17334.80,15657.60,0,0,0,0,0,1823.97,1861.47,1786.46,1898.98,0,0,0,1228.91,1159.49,1173.37,1168.75,1238.66,1600.63,1651.21,1829.28,1657.58,1456.57,1271.94,1144.37,1144.08,1118.66,1144.08,1169.50,1194.93,1194.93,1220.35,1169.50,1245.78,1322.05,1118.66,1093.23,2372.99,2278.15,2317.45,2338.25,2433.59,4619.53,4733.04,4785.25,4802.33,2778.61,2390.59,2237.61
ISE3AL,252190.40,8775.42,18753.91,14288.29,41817.62,15920.80,15122.40,18251.20,18374.40,19581.60,22382.40,26349.60,26902.40,24835.20,24164.00,20441.60,19864.80,0,0,0,0,0,1956.58,2157.09,2293.38,2368.38,0,0,0,1123.15,1067.20,1298.39,1293.64,1388.87,1808.92,2054.99,2192.13,1964.09,1713.47,1447.85,1401.21,762.72,762.72,813.57,1118.66,966.11,1271.20,1677.98,1576.29,1728.83,1474.59,1169.50,966.11,1885.87,1829.92,2111.95,2412.30,2354.98,5036.69,5890.07,6061.80,6061.30,3188.07,2617.36,2367.32
