DateTime,Usage_KWH,UniqueID
2/26/2016 17:45,76.2,string
2/26/2016 18:00,80.4,string
2/26/2016 18:15,81.6,string
2/26/2016 18:30,76.8,string
2/26/2016 18:45,73.8,string
2/26/2016 19:00,70.8,string
2/26/2016 19:15,66,string
2/26/2016 19:30,70.2,string
2/26/2016 19:45,68.4,string
2/26/2016 20:00,66.6,string
2/26/2016 20:15,64.2,string
2/26/2016 20:30,67.2,string
2/26/2016 20:45,65.4,string
2/26/2016 21:00,66,string
2/26/2016 21:15,66,string
2/26/2016 21:30,64.8,string
2/26/2016 21:45,58.8,string
2/26/2016 22:00,60,string
2/26/2016 22:15,58.8,string
2/26/2016 22:30,52.8,string
2/26/2016 22:45,52.2,string
2/26/2016 23:00,51,string
2/26/2016 23:15,49.2,string
2/26/2016 23:30,47.4,string
2/26/2016 23:45,48,string
2/27/2016 0:00,48,string
2/27/2016 0:15,50.4,string
2/27/2016 0:30,49.8,string
2/27/2016 0:45,46.2,string
2/27/2016 1:00,46.8,string
2/27/2016 1:15,46.8,string
2/27/2016 1:30,48,string
2/27/2016 1:45,48,string
2/27/2016 2:00,46.2,string
2/27/2016 2:15,44.4,string
2/27/2016 2:30,45.6,string
2/27/2016 2:45,45,string
2/27/2016 3:00,46.2,string
2/27/2016 3:15,43.8,string
2/27/2016 3:30,43.8,string
2/27/2016 3:45,47.4,string
2/27/2016 4:00,48.6,string
2/27/2016 4:15,46.2,string
2/27/2016 4:30,44.4,string
2/27/2016 4:45,45.6,string
2/27/2016 5:00,45.6,string
2/27/2016 5:15,46.8,string
2/27/2016 5:30,45.6,string
2/27/2016 5:45,45.6,string
2/27/2016 6:00,49.2,string
2/27/2016 6:15,52.8,string
2/27/2016 6:30,56.4,string
2/27/2016 6:45,52.8,string
2/27/2016 7:00,54,string
2/27/2016 7:15,57.6,string
2/27/2016 7:30,58.2,string
2/27/2016 7:45,60,string
2/27/2016 8:00,59.4,string
2/27/2016 8:15,52.8,string
2/27/2016 8:30,53.4,string
2/27/2016 8:45,52.8,string
2/27/2016 9:00,57,string
2/27/2016 9:15,60,string
2/27/2016 9:30,61.8,string
2/27/2016 9:45,57,string
2/27/2016 10:00,62.4,string
2/27/2016 10:15,66,string
2/27/2016 10:30,61.2,string
2/27/2016 10:45,63.6,string
